Genesymbol,Chromosome,ucsc_ID_SNP,F1i_CAST_Reads,F1i_C57_Reads,F1r_CAST_Reads,F1r_C57_Reads,F1i_Chi_Pvalue,F1r_Chi_Pvalue,F1i_parental_bias,F1r_parental_bias,sample,ie_status,parent
1200009F10Rik,chr10,uc007gtm.1_765,42,25,12,29,0.0378126,0.00793192,0.626866,0.707317,mpfc,,maternal
1810044A24Rik,chr15,uc007wbp.1_508,74,28,9,73,5.25E-06,1.58E-12,0.72549,0.890244,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbp.1_424,81,25,17,44,5.35E-08,0.000546233,0.764151,0.721311,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbp.1_2086,49,23,10,38,0.00218304,5.31E-05,0.680556,0.791667,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbp.1_1885,41,16,25,51,0.000928533,0.00285994,0.719298,0.671053,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbp.1_1612,27,14,7,26,0.0423302,0.00094141,0.658537,0.787879,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbn.1_508,74,28,9,73,5.25E-06,1.58E-12,0.72549,0.890244,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbn.1_424,81,25,17,44,5.35E-08,0.000546233,0.764151,0.721311,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbn.1_2773,39,9,10,26,1.49E-05,0.00766076,0.8125,0.722222,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbn.1_2458,67,28,9,57,6.30E-05,3.45E-09,0.705263,0.863636,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbn.1_2437,45,12,15,48,1.24E-05,3.22E-05,0.789474,0.761905,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbn.1_1912,41,16,25,51,0.000928533,0.00285994,0.719298,0.671053,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbn.1_2113,49,23,10,38,0.00218304,5.31E-05,0.680556,0.791667,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbn.1_1639,27,14,7,26,0.0423302,0.00094141,0.658537,0.787879,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_508,74,28,9,73,5.25E-06,1.58E-12,0.72549,0.890244,mpfc,known,maternal
